Title,Duration,Rating,Description,Image URL,Director,Genres
The Shawshank Redemption,2 hours 22 minutes,9.3,"Zwei Gefängnisinsassen freunden sich im Lauf der Jahre an und finden Trost und schließlich Erlösung, indem sie anständig bleiben und Gutes tun.",https://m.media-amazon.com/images/M/MV5BOTcxMDAzNTcwM15BMl5BanBnXkFtZTgwNjQ2MjEyMDE@._V1_.jpg,Frank Darabont,Drama
The Godfather,2 hours 55 minutes,9.2,Der alternde Patriarch einer Verbrecherdynastie will die Herrschaft über sein geheimes Reich auf seinen widerwilligen Sohn übertragen.,https://m.media-amazon.com/images/M/MV5BMjg5ZGNmZWMtY2ZmNy00OWFiLThkMjAtMjRlNDYzZDJkNThlXkEyXkFqcGc@._V1_.jpg,Francis Ford Coppola,"Krimi, Drama"
The Dark Knight,2 hours 32 minutes,9,"Als der fiese Joker Verwüstung und Chaos über die Menschen in Gotham bringt, muss sich der &quot;dunkle Ritter&quot; einer der härtesten psychologischen Prüfungen seiner Fähigkeit, Unrecht zu bekämpfen, unterziehen.",https://m.media-amazon.com/images/M/MV5BMDQ5MWU2YWUtNTQ4OC00Njk5LWI0NzctMjM4OGZiNmZmNGViXkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Action, Krimi, Drama"
The Godfather Part II,3 hours 22 minutes,9,"Im New York der 1920er Jahre werden das frühe Leben und die Karriere von Vito Corleone porträtiert, während dessen Sohn Michael seine Macht erweitert und den Druck auf sein Verbrechersyndikat erhöht, das bald vom Lake Tahoe in Nev...",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,Francis Ford Coppola,"Krimi, Drama"
12 Angry Men,1 hours 36 minutes,9,"Ein Mitglied der Geschworenen stimmt nicht schuldig, um ein Fehlurteil zu verhindern, und versucht die Mitgeschworenen dazu zu bringen, die Beweise noch einmal zu überprüfen.",https://m.media-amazon.com/images/M/MV5BNGE0OTU1MmMtNjUyZi00ZGM0LWFjMGUtZTJjYmY4ZjJhMzA5XkEyXkFqcGc@._V1_.jpg,Sidney Lumet,"Krimi, Drama"
Schindler's List,3 hours 15 minutes,9,"Im Zweiten Weltkrieg macht sich Oskar Schindler in dem von den Deutschen besetzten Polen zunehmend Sorgen um seine jüdischen Mitarbeiter, nachdem er Zeuge von deren Verfolgung durch die Nazis geworden ist.",https://m.media-amazon.com/images/M/MV5BMjAzNTg4MzUtNzBjNC00OGE1LWE3YmQtYWNiY2UwYWJlY2YxXkEyXkFqcGc@._V1_.jpg,Steven Spielberg,"Biografie, Drama, Geschichte"
The Lord of the Rings: The Return of the King,3 hours 21 minutes,9,"Gandalf und Aragorn führen die Männer der Mittelerde in den Kampf gegen Saurons Armee, um ihn von Frodo und Sam abzulenken, die sich gerade dem Schicksalsberg mit dem Einen Ring nähern.",https://m.media-amazon.com/images/M/MV5BOWRmOTdkNjctY2YxMC00Y2E4LWFkMjktMzVmNjAxN2RmODJhXkEyXkFqcGc@._V1_.jpg,Peter Jackson,"Action, Abenteuer, Drama"
Pulp Fiction,2 hours 34 minutes,8.9,"Die Leben zweier Auftragskiller, eines Boxers, einer Gangsterbraut und eines Pärchens, das Diner-Restaurants überfällt, werden in vier Episoden miteinander verwoben, die aus Gewalt und Erlösung bestehen.",https://m.media-amazon.com/images/M/MV5BZTRjYmY1NmYtMmU0Ny00OWQ4LWI5ZDUtMDE0MzU1YWZjYTFhXkEyXkFqcGc@._V1_.jpg,Quentin Tarantino,"Krimi, Drama"
The Lord of the Rings: The Fellowship of the Ring,2 hours 58 minutes,8.9,"Ein sanftmütiger Hobbit aus dem Auenland und seine acht Gefährten machen sich auf den Weg, um den mächtigen Einen Ring zu zerstören und so die Mittelerde vor dem dunklen Herrscher Sauron zu bewahren.",https://m.media-amazon.com/images/M/MV5BZGFmNDg3ZmMtMmMyMC00NjA5LWFmNGMtYmY2YjFhMDc5YjI1XkEyXkFqcGc@._V1_.jpg,Peter Jackson,"Action, Abenteuer, Drama"
"Il buono, il brutto, il cattivo",2 hours 41 minutes,8.8,"Eine betrügerische Kopfgeldjagd lässt zwei Männer ein wackeliges Bündnis gegen einen dritten eingehen, um einen Goldschatz zu finden, der in einem abgelegenen Friedhof vergraben ist.",https://m.media-amazon.com/images/M/MV5BNjgyOWViNjYtZDFjOC00NDg1LWFmZDYtNmVmYjdiYWE5YTljXkEyXkFqcGc@._V1_.jpg,Sergio Leone,"Abenteuer, Drama, Western"
